,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N3,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N4,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49,N5,N50,N51,N52,N53,N54,N55,N56,N57,N58,N59,N6,N60,N61,N62,N63,N64,N65,N66,N67,N68,N69,N7,N70,N71,N72,N73,N74,N75,N76,N77,N78,N79,N8,N80,N81,N82,N83,N84,N85,N86,N87,N9
N33,0.22,0.21,0.786,0.221,0.266,1.385,0.873,3.855,1.751,0.29400000000000004,0.276,0.095,1.508,0.7090000000000001,0.318,0.323,3.205,1.328,0.175,2.4330000000000003,2.692,0.42200000000000004,3.2880000000000003,0.6090000000000001,0.352,0.939,0,0.5770000000000001,1.127,2.075,1.2530000000000001,0.433,0.676,0.31,1.4240000000000002,1.5490000000000002,3.2910000000000004,0.355,3.2030000000000003,1.859,1.084,2.187,0.9590000000000001,2.325,0.22999999999999998,2.199,0.123,3.9750000000000005,0.181,4.347,0.7130000000000001,2.049,1.1540000000000001,2.742,2.854,4.369,0.554,1.839,2.6439999999999997,2.743,1.271,2.2720000000000002,0.179,0.134,3.694,0.038,2.136,0.20400000000000001,0.082,2.675,3.73,0.119,2.2800000000000002,1.976,0.20400000000000001,1.961,0.29800000000000004,0.262,0.683,0.485,0.663,2.95,1.318,4.768000000000001,0.678,0.128,1.237
N34,0.363,0.72,1.03,0.42200000000000004,0.311,1.629,1.117,3.612,1.9949999999999997,0.6869999999999999,0.324,0.48200000000000004,0.9630000000000001,0.164,0.519,0.271,3.449,1.572,0.752,2.677,2.936,0.155,2.7430000000000003,0.064,0.29100000000000004,1.1829999999999998,0.5770000000000001,0,1.3709999999999998,1.53,1.4969999999999999,0.48400000000000004,0.738,0.695,1.6660000000000001,1.7910000000000001,2.7460000000000004,0.599,2.6580000000000004,2.101,0.664,2.429,0.539,1.7800000000000002,0.61,2.02,0.46099999999999997,3.4300000000000006,0.42300000000000004,3.8020000000000005,0.9550000000000001,2.2929999999999997,1.3960000000000001,2.563,3.098,4.6129999999999995,0.04,2.0829999999999997,2.8859999999999997,2.985,1.5149999999999997,1.74,0.398,0.448,3.149,0.544,2.38,0.597,0.659,2.13,3.185,0.627,1.8599999999999999,1.431,0.5439999999999999,1.4160000000000001,0.6379999999999999,0.506,0.745,0.865,0.751,2.4050000000000002,1.56,4.223000000000001,0.757,0.515,1.481
N35,1.103,0.919,0.998,1.3419999999999999,1.155,1.597,0.891,4.24,0.624,1.077,1.047,1.222,2.285,1.486,1.4389999999999998,1.0999999999999999,2.078,1.346,0.9540000000000001,1.3059999999999998,1.565,1.311,4.065,1.386,1.447,0.188,1.127,1.371,0,2.8520000000000003,0.126,1.5539999999999998,1.7969999999999997,1.273,1.8090000000000002,1.9340000000000002,4.068,0.772,3.98,2.244,1.986,2.572,1.861,3.102,1.351,2.584,1.006,4.752,0.948,5.124,1.098,0.9219999999999999,1.5390000000000001,3.1270000000000002,1.7269999999999999,3.242,1.331,0.712,3.029,3.128,0.144,2.657,1.237,1.187,4.471,1.091,1.009,1.1669999999999998,1.045,3.452,4.507,1.008,3.182,2.753,0.923,2.738,0.8290000000000001,0.865,1.8039999999999996,1.6059999999999999,1.7839999999999998,3.727,1.703,5.545,1.7989999999999997,1.2489999999999999,1.449
N36,1.8610000000000002,2.2180000000000004,1.869,1.9520000000000002,1.8090000000000002,1.502,1.976,2.146,3.4760000000000004,2.217,1.8050000000000002,1.9800000000000002,0.567,1.366,2.0490000000000004,1.7520000000000002,4.930000000000001,1.5619999999999998,2.25,4.158,4.417000000000001,1.6850000000000003,1.6219999999999999,1.4660000000000002,1.8210000000000002,2.664,2.075,1.5300000000000002,2.8520000000000003,0,2.978,2.0140000000000002,2.2680000000000002,2.2250000000000005,1.0579999999999998,0.9329999999999999,1.625,2.08,1.537,1.912,1.866,2.2399999999999998,1.741,0.659,2.1400000000000006,0.49,1.9590000000000003,2.309,1.9040000000000001,2.681,1.769,3.7740000000000005,1.3279999999999998,1.033,4.579000000000001,6.094,1.5210000000000001,3.5640000000000005,2.6969999999999996,2.796,2.9960000000000004,0.21,1.8960000000000001,1.9460000000000002,2.028,2.0420000000000003,3.8610000000000007,2.1270000000000002,2.157,1.734,2.064,2.1250000000000004,1.701,1.035,2.0420000000000003,1.02,2.136,1.987,2.2750000000000004,2.3950000000000005,2.281,1.284,1.371,3.102,2.2870000000000004,2.0450000000000004,1.4429999999999998
N37,1.2289999999999999,1.045,1.1239999999999999,1.4679999999999997,1.281,1.7229999999999999,1.017,4.366,0.5,1.2029999999999998,1.1729999999999998,1.3479999999999999,2.411,1.6119999999999999,1.5649999999999997,1.2259999999999998,1.954,1.472,1.0799999999999998,1.182,1.4409999999999998,1.4369999999999998,4.191,1.5119999999999998,1.573,0.314,1.253,1.4969999999999999,0.126,2.9779999999999998,0,1.6799999999999997,1.9229999999999996,1.3989999999999998,1.935,2.06,4.194,0.8979999999999999,4.106,2.37,2.112,2.698,1.9869999999999999,3.2279999999999998,1.4769999999999999,2.71,1.132,4.878,1.0739999999999998,5.25,1.224,0.798,1.665,3.253,1.603,3.118,1.4569999999999999,0.588,3.155,3.098,0.02,2.783,1.363,1.313,4.5969999999999995,1.2169999999999999,0.885,1.2929999999999997,1.1709999999999998,3.578,4.632999999999999,1.134,3.308,2.879,1.049,2.864,0.955,0.9909999999999999,1.9299999999999995,1.7319999999999998,1.9099999999999997,3.8529999999999998,1.829,5.670999999999999,1.9249999999999996,1.3749999999999998,1.575
N38,0.471,0.6350000000000001,1.213,0.21200000000000002,0.485,1.812,1.3000000000000003,4.096,2.178,0.4770000000000001,0.527,0.34400000000000003,1.447,0.648,0.115,0.542,3.6319999999999997,1.7550000000000003,0.6000000000000001,2.8600000000000003,3.119,0.329,3.2270000000000003,0.548,0.193,1.366,0.43300000000000005,0.484,1.554,2.0140000000000002,1.6800000000000002,0,0.254,0.29100000000000004,1.8570000000000002,1.9820000000000002,3.2300000000000004,0.7820000000000001,3.1420000000000003,2.2920000000000003,0.651,2.62,0.526,2.2640000000000002,0.20600000000000002,2.5040000000000004,0.556,3.9140000000000006,0.6140000000000001,4.2860000000000005,1.1460000000000001,2.476,1.5870000000000002,3.0470000000000006,3.281,4.795999999999999,0.524,2.266,3.077,3.176,1.698,2.224,0.42800000000000005,0.385,3.633,0.47100000000000003,2.563,0.38700000000000007,0.5090000000000001,2.614,3.669,0.5460000000000002,1.847,1.915,0.6310000000000001,1.9000000000000001,0.7250000000000001,0.6890000000000002,0.261,0.445,0.267,2.8890000000000002,1.7510000000000001,4.707000000000001,0.273,0.30500000000000005,1.6640000000000001
N39,0.725,0.878,1.456,0.46599999999999997,0.739,2.055,1.543,4.35,2.421,0.72,0.781,0.598,1.701,0.902,0.369,0.796,3.875,1.998,0.843,3.103,3.362,0.583,3.481,0.802,0.447,1.609,0.676,0.738,1.797,2.268,1.923,0.254,0,0.531,2.1000000000000005,2.2250000000000005,3.484,1.025,3.396,2.535,0.641,2.863,0.766,2.518,0.446,2.758,0.799,4.168,0.8570000000000001,4.54,1.3890000000000002,2.719,1.8300000000000003,3.301,3.524,5.039,0.778,2.509,3.32,3.419,1.9409999999999998,2.4779999999999998,0.6819999999999999,0.639,3.8869999999999996,0.7140000000000001,2.806,0.63,0.752,2.868,3.9229999999999996,0.789,1.837,2.169,0.874,2.154,0.968,0.932,0.007,0.191,0.013,3.143,1.9940000000000002,4.961,0.019,0.548,1.907
N4,0.5299999999999999,0.354,0.9319999999999999,0.273,0.5760000000000001,1.531,1.0190000000000001,4.165000000000001,1.8969999999999998,0.196,0.586,0.405,1.6580000000000001,0.8590000000000001,0.176,0.6330000000000001,3.351,1.4740000000000002,0.319,2.579,2.838,0.54,3.438,0.7590000000000001,0.404,1.085,0.31,0.6950000000000001,1.273,2.225,1.399,0.291,0.531,0,1.7340000000000002,1.8590000000000002,3.4410000000000003,0.501,3.353,2.169,0.942,2.497,0.817,2.475,0.085,2.5090000000000003,0.433,4.125,0.491,4.497,1.0230000000000001,2.195,1.4640000000000002,3.0520000000000005,3.0,4.515,0.7350000000000001,1.9849999999999999,2.9539999999999997,3.053,1.4169999999999998,2.435,0.48900000000000005,0.44399999999999995,3.8440000000000003,0.348,2.282,0.106,0.22799999999999998,2.825,3.8800000000000003,0.26499999999999996,2.138,2.1260000000000003,0.35,2.111,0.44399999999999995,0.408,0.538,0.34,0.518,3.1,1.6280000000000001,4.918,0.533,0.187,1.383
N40,1.3980000000000001,1.562,0.811,1.645,1.4500000000000002,0.533,0.918,2.7840000000000003,2.433,1.7180000000000002,1.342,1.5190000000000001,1.625,1.7810000000000001,1.742,1.395,3.8869999999999996,0.504,1.597,3.115,3.374,1.606,2.68,1.681,1.742,1.621,1.4240000000000002,1.6660000000000001,1.809,1.058,1.935,1.857,2.1,1.7340000000000002,0,0.125,2.6830000000000003,1.419,2.595,0.9750000000000001,2.281,1.3030000000000002,2.156,1.717,1.6540000000000001,1.1280000000000001,1.3010000000000002,3.3670000000000004,1.243,3.7390000000000003,0.7110000000000001,2.731,0.27,1.6710000000000003,3.536,5.051,1.6260000000000001,2.521,1.7600000000000002,1.8590000000000002,1.9529999999999998,0.848,1.5320000000000003,1.4820000000000002,3.0860000000000003,1.3860000000000001,2.818,1.6280000000000001,1.506,2.792,3.1220000000000003,1.469,2.759,2.093,1.3840000000000001,2.078,1.476,1.326,2.107,1.9090000000000003,2.087,2.342,0.43400000000000005,4.16,2.1020000000000003,1.552,0.385
N41,1.5230000000000001,1.687,0.936,1.77,1.5750000000000002,0.658,1.0430000000000001,2.6590000000000003,2.558,1.8430000000000002,1.467,1.6440000000000001,1.5,1.9060000000000001,1.867,1.52,4.012,0.629,1.722,3.24,3.499,1.731,2.555,1.806,1.867,1.746,1.5490000000000002,1.7910000000000001,1.934,0.9329999999999999,2.06,1.982,2.225,1.8590000000000002,0.125,0,2.5580000000000003,1.544,2.47,1.1,2.406,1.4280000000000002,2.281,1.592,1.7790000000000001,1.0030000000000001,1.4260000000000002,3.2420000000000004,1.368,3.6140000000000003,0.8360000000000001,2.856,0.395,1.5460000000000003,3.661,5.176,1.7510000000000001,2.646,1.8850000000000002,1.9840000000000002,2.078,0.723,1.6570000000000003,1.6070000000000002,2.9610000000000003,1.5110000000000001,2.943,1.7530000000000001,1.631,2.667,2.9970000000000003,1.594,2.634,1.968,1.5090000000000001,1.953,1.601,1.451,2.232,2.0340000000000003,2.212,2.217,0.559,4.035,2.2270000000000003,1.677,0.51
N42,3.0770000000000004,3.4340000000000006,3.4939999999999998,3.168,3.0250000000000004,3.1270000000000007,3.601,1.548,4.692,3.433,3.0210000000000004,3.1960000000000006,1.7830000000000001,2.5820000000000003,3.265,2.9680000000000004,6.146,3.1870000000000003,3.4660000000000006,5.374,5.633,2.9010000000000002,0.025,2.6820000000000004,3.0370000000000004,3.880000000000001,3.291000000000001,2.7460000000000004,4.0680000000000005,1.625,4.194000000000001,3.2300000000000004,3.4840000000000004,3.4410000000000003,2.683,2.558,0,3.2960000000000007,0.088,3.5370000000000004,3.0820000000000003,3.865,2.9570000000000003,0.966,3.3560000000000003,2.115,3.1750000000000003,0.684,3.1200000000000006,1.056,3.3939999999999997,4.99,2.953,2.6580000000000004,5.795,7.3100000000000005,2.7370000000000005,4.78,4.061999999999999,4.421,4.212000000000001,1.835,3.1120000000000005,3.1620000000000004,1.085,3.2580000000000005,5.077,3.343,3.3730000000000007,1.028,1.121,3.3410000000000006,2.011,1.345,3.2580000000000005,1.33,3.3520000000000003,3.2030000000000007,3.4910000000000005,3.611,3.4970000000000003,0.34099999999999997,2.9960000000000004,1.505,3.5030000000000006,3.261,3.068
N43,0.331,0.147,0.617,0.57,0.383,1.216,0.518,3.85,1.396,0.305,0.275,0.44999999999999996,1.5130000000000001,0.7140000000000001,0.6669999999999999,0.328,2.8499999999999996,0.9730000000000001,0.182,2.078,2.3369999999999997,0.539,3.293,0.6140000000000001,0.675,0.584,0.355,0.5990000000000001,0.772,2.08,0.898,0.7819999999999999,1.025,0.501,1.419,1.544,3.2960000000000003,0,3.208,1.854,1.214,2.182,1.089,2.33,0.579,2.194,0.23399999999999999,3.9800000000000004,0.176,4.352,0.708,1.694,1.149,2.737,2.4989999999999997,4.013999999999999,0.559,1.484,2.639,2.738,0.916,2.267,0.465,0.41500000000000004,3.699,0.319,1.781,0.39499999999999996,0.27299999999999996,2.68,3.735,0.236,2.41,1.981,0.151,1.9660000000000002,0.057,0.093,1.0319999999999998,0.834,1.012,2.955,1.313,4.773,1.027,0.477,1.068
N44,2.9890000000000003,3.3460000000000005,3.4059999999999997,3.08,2.9370000000000003,3.0390000000000006,3.513,1.46,4.604000000000001,3.3449999999999998,2.9330000000000003,3.1080000000000005,1.695,2.494,3.177,2.8800000000000003,6.058000000000001,3.099,3.3780000000000006,5.286,5.545,2.813,0.085,2.5940000000000003,2.9490000000000003,3.7920000000000007,3.2030000000000007,2.6580000000000004,3.980000000000001,1.537,4.106000000000001,3.1420000000000003,3.3960000000000004,3.353,2.5949999999999998,2.4699999999999998,0.088,3.2080000000000006,0,3.4490000000000003,2.994,3.777,2.869,0.878,3.2680000000000002,2.027,3.087,0.772,3.0320000000000005,1.1440000000000001,3.3059999999999996,4.902000000000001,2.8649999999999998,2.5700000000000003,5.707,7.222000000000001,2.6490000000000005,4.692,3.9739999999999998,4.333,4.1240000000000006,1.7469999999999999,3.0240000000000005,3.0740000000000003,0.997,3.1700000000000004,4.989,3.255,3.2850000000000006,0.9400000000000001,1.033,3.2530000000000006,1.923,1.257,3.1700000000000004,1.242,3.2640000000000002,3.1150000000000007,3.4030000000000005,3.523,3.4090000000000003,0.253,2.9080000000000004,1.565,3.4150000000000005,3.173,2.98
N45,1.8330000000000002,1.997,1.2460000000000002,2.08,1.8850000000000002,0.672,1.3530000000000002,2.4539999999999997,2.8680000000000003,2.153,1.7770000000000001,1.9540000000000002,2.479,2.216,2.177,1.83,4.322,0.9390000000000001,2.032,2.8000000000000003,2.5410000000000004,2.0410000000000004,3.5340000000000003,2.116,2.1770000000000005,2.056,1.8590000000000002,2.101,2.244,1.9120000000000001,2.37,2.2920000000000003,2.5349999999999997,2.169,0.9750000000000001,1.1,3.5370000000000004,1.854,3.4490000000000003,0,2.716,0.328,2.591,2.571,2.089,1.4220000000000002,1.7360000000000002,3.5279999999999996,1.6780000000000002,3.8999999999999995,1.1460000000000001,3.1660000000000004,0.7050000000000001,1.341,3.2060000000000004,5.486000000000001,2.061,2.9560000000000004,0.785,0.8840000000000001,2.3880000000000003,1.7020000000000002,1.9670000000000003,1.9170000000000003,2.917,1.8210000000000002,3.0970000000000004,2.063,1.941,3.646,2.881,1.9040000000000001,3.613,2.947,1.8190000000000002,2.932,1.911,1.7610000000000001,2.542,2.344,2.522,3.196,0.541,4.941999999999999,2.537,1.987,0.8200000000000001
N46,0.9950000000000001,1.286,1.645,0.863,0.9430000000000001,2.244,1.732,3.9480000000000004,2.61,1.1280000000000001,0.9390000000000001,0.995,1.299,0.5,0.766,0.886,4.064,2.187,1.2510000000000001,3.2920000000000003,3.551,0.819,3.079,0.6,0.8440000000000001,1.798,1.084,0.6639999999999999,1.986,1.8659999999999999,2.112,0.651,0.641,0.942,2.281,2.406,3.0820000000000003,1.214,2.994,2.716,0,3.044,0.125,2.116,0.857,2.356,1.0930000000000002,3.7660000000000005,1.038,4.138000000000001,1.57,2.908,2.011,2.899,3.713,5.228,0.655,2.698,3.501,3.6,2.13,2.076,1.03,1.036,3.4850000000000003,1.122,2.995,1.038,1.1600000000000001,2.4659999999999997,3.5210000000000004,1.197,1.196,1.767,1.1760000000000002,1.752,1.2700000000000002,1.121,0.634,0.8320000000000001,0.654,2.741,2.1750000000000003,4.559,0.646,0.956,2.096
N47,2.1610000000000005,2.325,1.574,2.408,2.2130000000000005,1.0,1.681,2.782,3.196,2.4809999999999994,2.1050000000000004,2.282,2.8070000000000004,2.5440000000000005,2.505,2.1580000000000004,4.65,1.267,2.3600000000000003,2.472,2.213,2.3690000000000007,3.862,2.4440000000000004,2.505000000000001,2.384,2.187,2.4290000000000003,2.572,2.24,2.698,2.62,2.8629999999999995,2.4969999999999994,1.303,1.428,3.865,2.1820000000000004,3.777,0.328,3.0440000000000005,0,2.9190000000000005,2.899,2.417,1.75,2.064,3.856,2.0060000000000002,4.228,1.474,3.494,1.033,1.669,2.878,5.814,2.3890000000000002,3.0660000000000003,0.457,0.556,2.716,2.0300000000000002,2.295,2.245,3.245,2.149,2.769,2.3909999999999996,2.2689999999999997,3.974,3.209,2.232,3.9410000000000003,3.2750000000000004,2.1470000000000002,3.2600000000000002,2.2390000000000003,2.0890000000000004,2.8699999999999997,2.6719999999999997,2.8499999999999996,3.524,0.869,5.27,2.8649999999999998,2.315,1.148
N48,0.8700000000000001,1.1609999999999998,1.52,0.738,0.8180000000000001,2.119,1.607,3.8230000000000004,2.485,1.003,0.8140000000000001,0.87,1.174,0.375,0.641,0.761,3.939,2.062,1.126,3.1670000000000003,3.426,0.694,2.954,0.475,0.7190000000000001,1.673,0.959,0.5389999999999999,1.861,1.7409999999999999,1.987,0.526,0.766,0.817,2.156,2.281,2.9570000000000003,1.089,2.869,2.591,0.125,2.919,0,1.991,0.732,2.231,0.9680000000000001,3.6410000000000005,0.913,4.013000000000001,1.445,2.783,1.8860000000000001,2.774,3.588,5.103,0.53,2.573,3.376,3.475,2.005,1.9509999999999998,0.905,0.911,3.3600000000000003,0.997,2.87,0.9129999999999999,1.035,2.3409999999999997,3.3960000000000004,1.0719999999999998,1.321,1.642,1.0510000000000002,1.627,1.1450000000000002,0.996,0.759,0.9570000000000001,0.779,2.616,2.0500000000000003,4.434,0.771,0.831,1.971
N49,2.111,2.4680000000000004,2.528,2.202,2.059,2.1610000000000005,2.6350000000000002,1.832,3.726000000000001,2.4669999999999996,2.055,2.2300000000000004,0.817,1.616,2.299,2.0020000000000002,5.180000000000001,2.221,2.5000000000000004,4.408,4.667000000000001,1.9350000000000003,0.963,1.7160000000000002,2.071,2.9140000000000006,2.3250000000000006,1.7800000000000002,3.1020000000000008,0.659,3.2280000000000006,2.2640000000000002,2.5180000000000002,2.475,1.717,1.592,0.966,2.3300000000000005,0.878,2.571,2.116,2.899,1.991,0,2.39,1.149,2.209,1.65,2.1540000000000004,2.022,2.428,4.024000000000001,1.987,1.6920000000000002,4.829000000000001,6.344000000000001,1.7710000000000001,3.814000000000001,3.356,3.455,3.246000000000001,0.869,2.1460000000000004,2.196,1.369,2.2920000000000003,4.111000000000001,2.377,2.4070000000000005,1.0779999999999998,1.405,2.3750000000000004,1.045,0.379,2.2920000000000003,0.364,2.386,2.2370000000000005,2.5250000000000004,2.645,2.531,0.625,2.0300000000000002,2.443,2.5370000000000004,2.295,2.1020000000000003
N5,0.44699999999999995,0.43200000000000005,1.01,0.188,0.491,1.609,1.097,4.085000000000001,1.9749999999999996,0.274,0.503,0.32,1.573,0.7739999999999999,0.091,0.548,3.4289999999999994,1.552,0.397,2.657,2.916,0.455,3.3529999999999998,0.6739999999999999,0.319,1.1629999999999998,0.22999999999999998,0.61,1.3509999999999998,2.1399999999999997,1.4769999999999999,0.20600000000000002,0.446,0.085,1.6540000000000001,1.7790000000000001,3.356,0.579,3.268,2.089,0.857,2.417,0.732,2.3899999999999997,0,2.4290000000000003,0.353,4.04,0.411,4.412,0.9430000000000001,2.2729999999999997,1.3840000000000001,2.9720000000000004,3.078,4.593,0.65,2.0629999999999997,2.8739999999999997,2.973,1.4949999999999997,2.3499999999999996,0.404,0.361,3.7589999999999995,0.26799999999999996,2.36,0.184,0.306,2.7399999999999998,3.7949999999999995,0.34299999999999997,2.053,2.041,0.428,2.026,0.522,0.486,0.453,0.255,0.433,3.0149999999999997,1.548,4.833,0.448,0.102,1.461
N50,2.173,2.3369999999999997,1.586,2.4199999999999995,2.225,1.012,1.693,1.6560000000000001,3.208,2.492999999999999,2.117,2.2939999999999996,1.057,1.8559999999999999,2.5169999999999995,2.17,4.662,1.279,2.372,3.8900000000000006,3.963,2.175,2.112,1.956,2.311,2.396,2.1989999999999994,2.02,2.584,0.49,2.71,2.504,2.758,2.508999999999999,1.1280000000000001,1.0030000000000001,2.115,2.194,2.027,1.4220000000000002,2.356,1.7500000000000002,2.231,1.149,2.4289999999999994,0,2.0759999999999996,2.7300000000000004,2.018,3.1020000000000003,1.486,3.5060000000000002,1.045,0.543,4.311,5.8260000000000005,2.011,3.2960000000000003,2.2070000000000003,2.306,2.728,0.28,2.3069999999999995,2.2569999999999997,2.119,2.1609999999999996,3.5930000000000004,2.402999999999999,2.2809999999999993,2.2239999999999998,2.083,2.2439999999999998,2.191,1.525,2.159,1.51,2.251,2.101,2.765,2.6839999999999993,2.771,1.774,0.881,3.592,2.777,2.3269999999999995,1.16
N51,0.098,0.261,0.665,0.344,0.15,1.264,0.752,3.732,1.63,0.41700000000000004,0.154,0.218,1.392,0.593,0.44099999999999995,0.207,3.0839999999999996,1.207,0.29600000000000004,2.3120000000000003,2.571,0.306,3.172,0.493,0.442,0.818,0.123,0.46099999999999997,1.006,1.9589999999999999,1.1320000000000001,0.5559999999999999,0.799,0.433,1.3010000000000002,1.4260000000000002,3.1750000000000003,0.23399999999999999,3.087,1.7360000000000002,1.093,2.064,0.968,2.209,0.353,2.076,0,3.8590000000000004,0.058,4.231000000000001,0.5900000000000001,1.928,1.0310000000000001,2.619,2.733,4.247999999999999,0.438,1.718,2.521,2.62,1.15,2.149,0.23099999999999998,0.181,3.5780000000000003,0.085,2.015,0.327,0.20500000000000002,2.5589999999999997,3.6140000000000003,0.168,2.2889999999999997,1.8599999999999999,0.083,1.845,0.177,0.14100000000000001,0.806,0.608,0.786,2.834,1.195,4.652,0.801,0.251,1.116
N52,3.7609999999999997,4.117999999999999,4.178,3.8519999999999994,3.7089999999999996,3.742000000000001,4.285,1.074,5.3759999999999994,4.116999999999999,3.7049999999999996,3.88,2.4669999999999996,3.2659999999999996,3.9489999999999994,3.6519999999999997,6.829999999999999,3.8710000000000004,4.15,6.057999999999999,6.069000000000001,3.5849999999999995,0.7090000000000001,3.3659999999999997,3.7209999999999996,4.564,3.975,3.4299999999999997,4.752,2.309,4.878,3.9139999999999997,4.167999999999999,4.124999999999999,3.367,3.242,0.684,3.98,0.772,3.5280000000000005,3.7659999999999996,3.8560000000000003,3.6409999999999996,1.65,4.039999999999999,2.7300000000000004,3.8589999999999995,0,3.804,0.372,4.078,5.6739999999999995,3.637,2.1870000000000003,6.478999999999999,7.994,3.421,5.4639999999999995,3.588,4.412000000000001,4.896,2.519,3.796,3.8459999999999996,0.611,3.9419999999999997,5.760999999999999,4.026999999999999,4.057,1.712,0.647,4.0249999999999995,2.695,2.029,3.9419999999999997,2.014,4.036,3.887,4.174999999999999,4.294999999999999,4.180999999999999,1.025,3.6110000000000007,1.4140000000000001,4.1869999999999985,3.9449999999999994,3.7520000000000002
N53,0.155,0.31900000000000006,0.607,0.402,0.207,1.206,0.694,3.674,1.5719999999999998,0.475,0.099,0.276,1.3370000000000002,0.538,0.499,0.152,3.026,1.149,0.3540000000000001,2.2539999999999996,2.5129999999999995,0.363,3.1170000000000004,0.438,0.499,0.76,0.18100000000000002,0.423,0.948,1.9040000000000001,1.0739999999999998,0.614,0.8570000000000001,0.491,1.243,1.368,3.1200000000000006,0.176,3.0320000000000005,1.678,1.038,2.006,0.913,2.1540000000000004,0.41100000000000003,2.018,0.058,3.8040000000000007,0,4.176000000000001,0.532,1.8699999999999999,0.9730000000000001,2.561,2.675,4.1899999999999995,0.383,1.6599999999999997,2.4629999999999996,2.562,1.0919999999999999,2.091,0.28900000000000003,0.23900000000000002,3.5230000000000006,0.14300000000000002,1.9569999999999996,0.385,0.263,2.504,3.5590000000000006,0.22600000000000003,2.234,1.8050000000000002,0.14100000000000001,1.7900000000000003,0.23299999999999998,0.083,0.8640000000000001,0.666,0.8440000000000001,2.7790000000000004,1.137,4.597,0.8590000000000001,0.30900000000000005,1.058
N54,4.133,4.49,4.55,4.224,4.081,4.114000000000001,4.657,1.446,5.747999999999999,4.489,4.077,4.252,2.839,3.638,4.321000000000001,4.024,7.201999999999999,4.243,4.521999999999999,6.429999999999999,6.441000000000001,3.957,1.081,3.738,4.093,4.936,4.3469999999999995,3.802,5.124,2.681,5.25,4.286,4.539999999999999,4.497000000000001,3.739,3.614,1.056,4.352,1.1440000000000001,3.9000000000000004,4.138,4.228000000000001,4.013,2.0220000000000002,4.412000000000001,3.1020000000000003,4.231,0.372,4.176,0,4.45,6.045999999999999,4.009,2.559,6.850999999999999,8.366,3.793,5.835999999999999,3.96,4.784000000000001,5.268,2.891,4.168,4.218,0.983,4.314,6.132999999999999,4.399,4.428999999999999,2.0840000000000005,1.019,4.397,3.067,2.4010000000000002,4.314,2.386,4.408,4.259,4.546999999999999,4.667000000000001,4.552999999999999,1.3970000000000002,3.9830000000000005,1.042,4.558999999999998,4.317,4.1240000000000006
N55,0.687,0.851,0.1,0.934,0.7390000000000001,0.6990000000000001,0.20700000000000002,3.142,1.7219999999999998,1.0070000000000001,0.631,0.808,1.8690000000000002,1.07,1.0310000000000001,0.684,3.1759999999999993,0.662,0.886,2.404,2.663,0.8950000000000001,3.391,0.9700000000000001,1.0310000000000001,0.9099999999999999,0.7130000000000001,0.9550000000000001,1.0979999999999999,1.7690000000000001,1.2239999999999998,1.1460000000000001,1.3889999999999998,1.0230000000000001,0.7110000000000001,0.8360000000000001,3.394,0.708,3.306,1.146,1.57,1.474,1.445,2.428,0.9430000000000001,1.486,0.5900000000000001,4.078,0.532,4.45,0,2.0199999999999996,0.441,2.029,2.8249999999999997,4.34,0.915,1.8099999999999996,1.931,2.0300000000000002,1.2419999999999998,1.5590000000000002,0.8210000000000001,0.771,3.605,0.675,2.1069999999999998,0.917,0.795,3.036,3.569,0.758,2.766,2.337,0.673,2.322,0.765,0.615,1.3959999999999997,1.198,1.376,3.053,0.605,4.871,1.3909999999999998,0.8410000000000001,0.551
N56,2.025,1.841,1.9200000000000002,2.264,2.077,2.519,1.8130000000000002,5.162000000000001,0.298,1.9989999999999999,1.9689999999999999,2.144,3.207,2.408,2.3609999999999998,2.022,1.156,2.2680000000000002,1.876,1.138,1.3969999999999998,2.233,4.987,2.308,2.369,1.11,2.049,2.2929999999999997,0.922,3.774,0.798,2.476,2.7189999999999994,2.195,2.731,2.856,4.99,1.694,4.902,3.166,2.908,3.4939999999999998,2.783,4.024,2.2729999999999997,3.5060000000000002,1.928,5.674,1.8699999999999999,6.046,2.02,0,2.461,4.049,1.559,2.916,2.2529999999999997,0.544,3.9509999999999996,3.054,0.778,3.5789999999999997,2.159,2.109,5.393,2.013,0.841,2.089,1.9669999999999999,4.374,5.428999999999999,1.93,4.104,3.675,1.845,3.6599999999999997,1.751,1.787,2.7259999999999995,2.5279999999999996,2.7059999999999995,4.649,2.625,6.4670000000000005,2.7209999999999996,2.171,2.371
